"code","name","sector","section","has_item","reg_day","code","reg_day","open","high","low","close","change_price","change_rate","volume","margin_rate","volume_retail","volume_insti","volume_foreign","volume_program","foreign_rate","volume_short","cap"
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-02-25,95100,96300,94200,94600,500,0.53,105059,0.43,16577,-51,-27473,-13241,19.02,65,27601
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-02-24,96900,97400,94000,94100,-1900,-1.98,108491,0.44,22799,-7224,-36652,-27781,19.07,53,27456
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-02-22,95500,98000,95200,95300,100,0.11,130219,0.42,31147,-5874,-38695,-24266,19.22,173,27806
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-02-19,95000,96100,94000,95200,1100,1.17,119003,0.41,7568,8342,-18447,-18719,19.3,377,27777
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-02-18,96600,97200,94100,94100,-2100,-2.18,141755,0.38,62479,-28573,-73651,-47982,19.35,159,27456
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-02-17,98700,98700,95600,96200,-2400,-2.43,162507,0.38,75287,-24660,-108343,-69755,19.48,206,28068
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-02-16,100000,100000,97900,98600,-1000,-1.0,94610,0.39,43057,-11603,-62276,-32417,19.65,35,28769
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-02-15,99400,101000,98200,99600,1400,1.43,129612,0.41,-11172,13752,4501,-422,19.76,32,29060
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-02-10,99300,99500,97200,98200,-700,-0.71,105483,0.42,6672,-19254,8841,-3763,19.74,149,28652
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-02-09,101000,101500,98700,98900,-1100,-1.1,80913,0.43,18871,-17774,-13761,-12890,19.72,2,28856
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-02-08,100000,101000,98900,100000,200,0.2,71094,0.42,-12006,13312,3561,-2913,19.74,271,29177
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-02-05,101000,102000,98500,99800,-700,-0.7,94799,0.41,-7676,3213,8315,4057,19.75,170,29119
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-02-04,101500,101500,99400,100500,-500,-0.5,107506,0.39,6383,-18694,32309,-7409,19.74,250,29323
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-02-02,97200,101500,97100,98800,1800,1.86,203944,0.38,4690,15794,-33512,-14191,19.65,145,28827
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-02-01,94100,97400,93500,97000,2900,3.08,181860,0.4,31743,-20541,-25505,-10084,19.73,283,28302
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-01-29,98900,98900,93900,94100,-3600,-3.68,221899,0.35,-15932,7584,1070,-3740,19.76,3,27456
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-01-28,100500,102000,97400,97700,-6300,-6.06,434010,0.36,173670,-14476,-349538,-174125,19.74,427,28506
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-01-27,105500,106000,103500,104000,-500,-0.48,112759,0.35,3802,-6752,4080,2588,20.32,457,30344
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-01-26,109000,109000,103500,104500,-3500,-3.24,217996,0.37,60593,-39118,-62043,-28145,20.31,301,30490
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-01-25,106500,110000,105500,108000,2000,1.89,139537,0.36,-697,-1088,15813,-11015,20.41,330,31511
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-01-22,110000,112000,106000,106000,-3000,-2.75,225588,0.35,39751,-18675,605,-36475,20.36,67,30928
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-01-21,109500,113000,108000,109000,500,0.46,207865,0.35,15451,-27499,33991,-5466,20.4,75,31803
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-01-20,110500,110500,106000,108500,-500,-0.46,198630,0.31,24643,-32099,20738,10218,20.38,1099,31657
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-01-19,108500,110500,106000,109000,500,0.46,199353,0.36,-3986,9683,7773,-11244,20.36,84,31803
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-01-18,113500,114500,106000,108500,-8000,-6.87,441842,0.36,11387,58406,-123360,-68366,20.35,269,31657
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-01-15,116000,118500,112500,116500,1500,1.3,429437,0.35,-31199,19257,72375,-52887,20.59,858,33991
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-01-14,103500,115000,103000,115000,11500,11.11,534049,0.35,-110682,69769,97841,-45237,20.54,1274,33554
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-01-13,100500,104000,100000,103500,5200,5.29,279740,0.3,-58850,3980,128059,29050,20.39,185,30198
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-01-07,94600,97500,94100,94900,800,0.85,281129,0.2,-17438,18727,-40007,-47182,19.94,198,27689
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2021-01-06,94200,97000,93500,94100,100,0.11,236424,0.2,39345,-30459,-7174,-13542,19.96,505,27456
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-29,89300,91300,88000,91100,1800,2.02,238105,0.26,-25109,-25320,59310,3522,19.57,829,26580
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-24,86300,88400,86200,88400,2100,2.43,197215,0.33,-56391,21812,79903,40608,19.36,28,25792
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-23,82300,87200,82300,86300,4000,4.86,290573,0.36,-121426,9127,202185,102984,19.26,19,25180
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-22,83900,84200,82300,82300,-1600,-1.91,105241,0.36,6677,6403,-15564,-7222,18.88,105,24013
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-21,83400,83900,82300,83900,700,0.84,104425,0.36,-7434,15528,-3784,-6873,18.92,54,24480
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-18,83600,83800,82900,83200,-100,-0.12,93713,0.36,11306,-5970,-16464,-5594,18.94,60,24275
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-17,82700,83800,82200,83300,1000,1.22,107129,0.37,-3660,384,-6003,1554,18.97,147,24304
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-16,81900,82700,81500,82300,1300,1.6,79093,0.39,-13701,-2486,19236,12295,18.97,24,24013
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-11,82200,84700,82100,83200,1200,1.46,248880,0.39,-33345,640,37770,27773,19.14,425,24275
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-10,81300,82200,80500,82000,700,0.86,178799,0.36,2231,6269,-30134,6569,19.07,206,23925
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-09,79900,81600,79600,81300,1800,2.26,159221,0.36,-35057,236,55115,32787,19.1,14,23721
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-08,79300,80000,79100,79500,300,0.38,73753,0.37,-10111,-3829,10558,15077,18.98,110,23196
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-07,79200,79300,78200,79200,-400,-0.5,113821,0.37,30497,-23433,-7498,-11921,18.93,21,23108
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-04,80500,80800,79300,79600,-700,-0.87,106688,0.39,37168,-32494,-8783,-8558,18.95,45,23225
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-03,80300,80400,79600,80300,-300,-0.37,82651,0.39,23581,-29155,-1349,3555,18.97,17,23429
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-02,79700,80600,79300,80600,1000,1.26,97182,0.38,-475,-30705,46981,30183,18.95,243,23517
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-12-01,79900,79900,79100,79600,500,0.63,71806,0.38,15828,-25882,14706,5371,18.85,223,23225
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-11-30,80100,80700,79000,79100,-1000,-1.25,136442,0.37,35353,-11331,-33828,-19988,18.81,205,23079
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-11-27,80000,80700,80000,80100,-300,-0.37,49222,0.35,16595,-14425,-18804,-5344,18.89,217,23371
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-11-26,81000,81300,80000,80400,-900,-1.11,67794,0.34,38109,-12682,-48514,-24711,18.9,267,23458
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-11-25,81600,82500,80300,81300,0,0.0,142216,0.34,33404,-37141,-40515,1490,18.99,138,23721
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-11-24,80300,82600,80200,81300,900,1.12,147393,0.34,-12782,-31854,64333,37861,19.17,221,23721
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-11-23,80000,80700,79500,80400,400,0.5,82717,0.34,-3631,-23972,37381,23901,19.03,405,23458
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-11-20,79700,80200,79300,80000,300,0.38,67196,0.31,18684,-30063,17203,7590,18.93,351,23342
"001040",CJ,KOSPI,주식,,2022-09-24,"001040",2020-11-19,80000,80100,79200,79700,-300,-0.38,53938,0.31,17298,-10161,-6470,-5090,18.89,120,23254
