"code","name","sector","section","has_item","reg_day","code","reg_day","open","high","low","close","change_price","change_rate","volume","margin_rate","volume_retail","volume_insti","volume_foreign","volume_program","foreign_rate","volume_short","cap"
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-25,84000,85400,83000,85300,3300,4.02,34155986,0.16,-13167539,4991798,14934648,4065233,54.92,0,5092225
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-24,81800,83600,81300,82000,0,0.0,26807651,0.16,-2583278,1520115,2264828,84020,54.78,0,4895222
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-23,81200,82900,81100,82000,-200,-0.24,20587314,0.16,1447053,471809,-4157727,-1088423,54.76,0,4895222
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-22,83800,84200,82200,82200,-400,-0.48,25419886,0.16,-292023,-732989,2044983,-991842,54.79,626,4907161
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-19,82300,82800,81000,82600,500,0.61,25880879,0.15,4505461,-287967,-10224608,422171,54.77,42,4931040
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-18,83200,83600,82100,82100,-1100,-1.32,21327683,0.14,5980290,-3574001,-4199737,-3810249,54.84,208,4901191
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-17,83900,84200,83000,83200,-1700,-2.0,18307735,0.14,7422553,-5815680,-3576681,-4883113,54.88,409,4966859
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-16,84500,86000,84200,84900,700,0.83,20483100,0.14,567866,-2835039,3411277,-451638,54.91,0,5068345
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-15,83800,84500,83300,84200,2600,3.19,23529706,0.14,-3396853,-408779,6793390,2175428,54.88,108,5026557
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-10,82600,82600,81600,81600,-1100,-1.33,23025766,0.13,7385875,-4684311,-6312503,-1637480,54.82,3,4871343
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-09,84000,84800,82700,82700,-300,-0.36,20898332,0.14,2255309,-557102,-3019911,-133006,54.87,260,4937010
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-08,83800,84200,83000,83000,-500,-0.6,15338765,0.14,-606621,1046695,-2212726,-301923,54.91,4775,4954920
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-05,83100,84000,82500,83500,1000,1.21,18036835,0.13,-1464237,902128,329434,-621656,54.93,5063,4984768
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-04,83500,83800,82100,82500,-2100,-2.48,24171688,0.12,10761088,-7315364,-6845122,-4647718,54.94,3924,4925071
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-03,84800,85400,83400,84600,200,0.24,22112205,0.12,4446132,-3259808,-2768569,-2720462,54.99,421,5050436
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-02,84100,86400,83700,84400,1400,1.69,26302077,0.11,-810643,756444,313035,-285422,55.02,1185,5038496
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-02-01,81700,83400,81000,83000,1000,1.22,28046832,0.11,1588594,522310,-4404390,-3084201,55.02,298,4954920
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-01-29,84500,85000,82000,82000,-1700,-2.03,39615978,0.12,5296264,-39104,-10056778,-5379228,55.06,856,4895222
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-01-28,83200,85600,83200,83700,-1900,-2.22,31859808,0.12,9196981,-2224634,-11643396,-6916232,55.15,8,4996708
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-01-27,86600,87700,85600,85600,-1100,-1.27,26423070,0.12,7108376,-2782056,-7593155,-2839180,55.26,659,5110134
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-01-26,88800,89200,86500,86700,-2700,-3.02,33178936,0.12,16608294,-8809122,-15442438,-10854622,55.33,1618,5175801
"005930",삼성전자,KOSPI,주식,,2022-09-24,"005930",2021-01-25,87000,89900,86300,89400,2600,3.0,27258534,0.12,-4660498,3020462,1998245,-7919,55.46,89,5336986
