"code","name","sector","section","has_item","reg_day","code","reg_day","open","high","low","close","change_price","change_rate","volume","margin_rate","volume_retail","volume_insti","volume_foreign","volume_program","foreign_rate","volume_short","cap"
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2023-01-17,48050,48600,47150,47250,-450,-0.94,1383777,1.13,-16296,32715,-57602,-32617,24.87,52452,46057
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2022-12-06,45950,47350,45900,46850,150,0.32,514235,1.22,-51482,101257,-79661,23862,25.99,6918,45667
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2022-10-27,43600,44600,43600,44550,1050,2.41,560017,1.14,-156016,75672,95248,93666,24.57,32703,43425
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2022-10-07,50900,50900,46500,46650,-4150,-8.17,2763032,1.35,554674,-431159,-350124,1650,22.55,240866,45472
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2022-08-24,57600,59700,57000,59000,2000,3.51,2468172,1.3,-251657,34777,314196,88008,21.29,85810,57510
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2022-07-14,47150,49200,46800,48300,800,1.68,1201493,0.94,-18578,-7462,48741,-20214,21.36,64526,47080
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2022-06-27,51600,52800,50900,52000,1200,2.36,828410,0.92,-17963,14038,-40219,-75195,21.53,55615,50687
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2022-05-13,47000,47500,45500,47300,850,1.83,806313,0.98,29227,24599,-84840,-56191,18.95,79967,46106
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2022-04-04,42000,42250,41400,42050,200,0.48,493894,1.02,5964,-67100,118546,64129,17.75,19189,40988
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2022-03-16,37350,37550,36500,37250,100,0.27,664789,0.83,16335,-30741,2062,-87789,15.3,72547,36309
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2021-12-17,29450,30350,29350,30000,500,1.69,569731,0.99,-9303,25110,-194749,-19613,11.72,40937,29243
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2021-11-30,28750,29200,26950,27300,-1400,-4.88,928159,1.04,208224,-105146,-183036,-100913,12.08,84009,26611
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2021-10-20,34200,34250,32700,32750,-1100,-3.25,1000320,1.05,166397,-135693,-75723,-22995,13.3,52606,31923
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2021-09-03,32550,32850,32350,32400,-150,-0.46,268489,0.97,27902,-14310,-19382,-13881,13.53,16385,31582
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2021-08-17,32600,32650,31600,31600,-850,-2.62,514999,1.03,138410,-51552,-45179,-91230,13.46,42435,30802
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2021-07-06,34200,34450,33700,34000,150,0.44,620626,1.14,-70929,-3982,170926,78739,13.68,2414,33142
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2021-05-27,34250,34600,33700,33750,-450,-1.32,742013,1.21,-6780,3768,50542,7988,13.05,62167,32898
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2021-03-26,37000,38150,36950,37400,900,2.47,1401440,1.15,-167584,113979,61362,39375,13.67,1516,36456
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2018-10-30,28300,29300,27950,29000,100,0.35,1056026,1.71,-98962,31113,166351,93136,10.68,53815,28268
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2018-09-17,45750,45850,45100,45150,-350,-0.77,509327,1.69,74443,-48130,-111419,-1935,14.38,28021,44010
